"time"	"choice"	"pair"	"task"	"rater"	"IDl"	"IDr"	"sex"	"ratingl"	"ratingr"	"heightl"	"heightr"	"weightl"	"weightr"	"agel"	"ager"	"heightsl"	"heightsr"	"weightsl"	"weightsr"	"agesl"	"agesr"
2.581	"Staond81"	"Knaada85|Staond81"	"body.form"	"R00003"	"Knaada85"	"Staond81"	"F"	4.21	4.13	190.3	175.3	89	84	30	35	1.51922581718287	-0.65477763119202	0.665701263213984	0.218855248228464	0.572361219415504	1.42521734106112
4.655	"Ondpet80"	"Vavit89|Ondpet80"	"body.form"	"R00003"	"Vavit89"	"Ondpet80"	"F"	5.49	5.03	177.5	183.4	78.9	98.7	26	36	-0.335923792097037	0.519184230930422	-0.236927687056767	1.53258253228589	-0.109923677900991	1.59578856539025
2.318	"Kvatom96"	"Kvatom96|Hravoj97"	"body.form"	"R00003"	"Kvatom96"	"Hravoj97"	"F"	4.33	4.97	171.4	177.1	71.5	80.1	19	19	-1.22001852776949	-0.393897217387035	-0.898259789235337	-0.129684643460243	-1.30392224820486	-1.30392224820486
2.358	"Hudjan95"	"Hudjan95|Cesdan78"	"body.form"	"R00003"	"Hudjan95"	"Cesdan78"	"F"	5.5	5.97	175.7	183.3	76.2	94.8	21	38	-0.596804205902026	0.504690874607924	-0.478224535148948	1.18404264059719	-0.96277979954661	1.93693101404849
5.248	"Fajjan99"	"Vavit89|Fajjan99"	"body.form"	"R00003"	"Vavit89"	"Fajjan99"	"F"	5.49	2.86	177.5	186.2	78.9	78.5	26	18	-0.335923792097037	0.9249982079604	-0.236927687056767	-0.272675368255609	-0.109923677900991	-1.47449347253398
2.082	"Salpav84"	"Durmic90|Salpav84"	"body.form"	"R00003"	"Durmic90"	"Salpav84"	"F"	3.15	3.23	173.7	187.2	71.9	88.3	25	32	-0.886671332352012	1.06993177118539	-0.862512108036495	0.603142821116011	-0.280494902230115	0.913503668073752
1.202	"Podjak84"	"Balatt81|Podjak84"	"body.form"	"R00003"	"Balatt81"	"Podjak84"	"F"	5.59	4.5	172.4	185.9	81.1	79.4	34	31	-1.0750849645445	0.881518138992905	-0.0403154404631386	-0.192243085558215	1.254646116732	0.742932443744628
3.199	"Lehpet88"	"Lehpet88|Schvac86"	"body.form"	"R00003"	"Lehpet88"	"Schvac86"	"F"	4.45	3.81	176.4	187.6	74.8	74.7	29	29	-0.495350711644529	1.12790519647539	-0.603341419344894	-0.612278339644604	0.40178999508638	0.40178999508638
2.064	"Staond81"	"Peltom81|Staond81"	"body.form"	"R00003"	"Peltom81"	"Staond81"	"F"	5.61	4.13	186	175.3	98.8	84	35	35	0.896011495315403	-0.65477763119202	1.5415194525856	0.218855248228464	1.42521734106112	1.42521734106112
1.957	"Kuzmat95"	"Kuzmat95|Hormic89"	"body.form"	"R00003"	"Kuzmat95"	"Hormic89"	"F"	5	3.45	175	172	85.1	73.6	20	27	-0.69825770015952	-1.1330583898345	0.317161371525278	-0.710584462941419	-1.13335102387573	0.0606475464281327
2.7	"Smimar96"	"Salpav84|Smimar96"	"body.form"	"R00003"	"Salpav84"	"Smimar96"	"F"	3.23	4.46	187.2	180.5	88.3	77.2	32	21	1.06993177118539	0.0988768975779417	0.603142821116011	-0.388855332151844	0.913503668073752	-0.96277979954661
6.402	"Dvodav92"	"Hravoj97|Dvodav92"	"body.form"	"R00003"	"Hravoj97"	"Dvodav92"	"F"	4.97	5.08	177.1	167.7	80.1	65.5	19	24	-0.393897217387035	-1.75627271170197	-0.129684643460243	-1.43447500721796	-1.30392224820486	-0.451066126559239
2.368	"Jurmar88"	"Maljan91|Jurmar88"	"body.form"	"R00003"	"Maljan91"	"Jurmar88"	"F"	6.06	2.75	179	164.7	83	60.6	24	28	-0.118523447259548	-2.19107340137695	0.12948604523136	-1.87238410190377	-0.451066126559239	0.231218770757256
